"","year","sector","category","GDP"
"2",2015,"Tanaman Pangan","Lahan",62707060.3
"3",2015,"Tanaman Hortikultura","Lahan",24016507.1
"4",2015,"Perkebunan","Lahan",10178584.1
"5",2015,"Peternakan","Lahan",16948709.7
"6",2015,"Jasa Pertanian dan Perburuan ","Jasa",2010509.6
"7",2015,"Kehutanan dan Penebangan Kayu","Lahan",1244692.4
"8",2015,"Perikanan","Lahan",14535541.9
"9",2015,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",17408561.6
"10",2015,"Pertambangan Bijih Logam","Lahan",897726.3
"11",2015,"Pertambangan dan Penggalian Lainnya","Lahan",7790150.2
"12",2015,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",24963385.4
"13",2015,"Industri Makanan dan Minuman","Indirect Land-based",66232817.4
"14",2015,"Pengolahan Tembakau","Indirect Land-based",3015525.9
"15",2015,"Industri Tekstil dan Pakaian Jadi","Industri",90987303.1
"16",2015,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",8758633.4
"17",2015,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",6329721.3
"18",2015,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",15864625.3
"19",2015,"Industri Kimia Farmasi dan Obat Tradisional","Industri",36907625
"20",2015,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",19411245.7
"21",2015,"Industri Barang Galian bukan Logam","Indirect Land-based",11578941.8
"22",2015,"Industri Logam Dasar","Industri",17935799.1
"23",2015,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",146785889.6
"24",2015,"Industri Mesin dan Perlengkapan YTDL","Industri",60756544.3
"25",2015,"Industri Alat Angkutan","Industri",128993004.9
"26",2015,"Industri Furnitur","Indirect Land-based",3504027.9
"27",2015,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",7203089.1
"28",2015,"Ketenagalistrikan","Energi",2247913.1
"29",2015,"Pengadaan Gas dan Produksi Es","Energi",10097394.1
"30",2015,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1176753.8
"31",2015,"Konstruksi","Jasa",136733112.1
"32",2015,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",32639622.4
"33",2015,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",198283017.6
"34",2015,"Angkutan Rel","Transportasi",984204.6
"35",2015,"Angkutan Darat","Transportasi",73136272.5
"36",2015,"Angkutan Laut","Transportasi",212803.3
"37",2015,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1252.7
"38",2015,"Angkutan Udara","Transportasi",8514181.4
"39",2015,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3250348.9
"40",2015,"Penyediaan Akomodasi","Jasa",6326031
"41",2015,"Penyediaan Makan Minum","Jasa",32005394.9
"42",2015,"Informasi dan Komunikasi","Jasa",39942518.5
"43",2015,"Jasa Perantara Keuangan","Jasa",30313634.5
"44",2015,"Asuransi dan Dana Pensiun","Jasa",3197817
"45",2015,"Jasa Keuangan Lainnya","Jasa",4754737
"46",2015,"Jasa Penunjang Keuangan","Jasa",526197.3
"47",2015,"Real Estate","Jasa",14257351.3
"48",2015,"Jasa Perusahaan","Jasa",6308344
"49",2015,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",36546403.6
"50",2015,"Jasa Pendidikan","Jasa",38546382.6
"51",2015,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",10569726.8
"52",2015,"Jasa lainnya","Jasa",27421465.3
"53",2015,"Lainnya","Lainnya",15725.6
"54",2016,"Tanaman Pangan","Lahan",65842802.08818
"55",2016,"Tanaman Hortikultura","Lahan",25217334.8619897
"56",2016,"Perkebunan","Lahan",10733463.6648028
"57",2016,"Peternakan","Lahan",17796183.7400456
"58",2016,"Jasa Pertanian dan Perburuan ","Jasa",2112292.580152
"59",2016,"Kehutanan dan Penebangan Kayu","Lahan",1310842.87486406
"60",2016,"Perikanan","Lahan",15262350.4874277
"61",2016,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",18279007.9367939
"62",2016,"Pertambangan Bijih Logam","Lahan",942614.585728632
"63",2016,"Pertambangan dan Penggalian Lainnya","Lahan",8179663.13083508
"64",2016,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",26211755.21733
"65",2016,"Industri Makanan dan Minuman","Indirect Land-based",69544678.440401
"66",2016,"Pengolahan Tembakau","Indirect Land-based",3166303.8637488
"67",2016,"Industri Tekstil dan Pakaian Jadi","Industri",95536712.7146338
"68",2016,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",9196568.26332597
"69",2016,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",6646212.62019281
"70",2016,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",16657882.8895148
"71",2016,"Industri Kimia Farmasi dan Obat Tradisional","Industri",38753198.0350576
"72",2016,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",20381890.8167675
"73",2016,"Industri Barang Galian bukan Logam","Indirect Land-based",12157899.1433016
"74",2016,"Industri Logam Dasar","Industri",18832593.5320178
"75",2016,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",154125245.604783
"76",2016,"Industri Mesin dan Perlengkapan YTDL","Industri",63794455.7238725
"77",2016,"Industri Alat Angkutan","Industri",135442888.189315
"78",2016,"Industri Furnitur","Indirect Land-based",3679230.87814352
"79",2016,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",7563286.51775817
"80",2016,"Ketenagalistrikan","Energi",2360309.02271086
"81",2016,"Pengadaan Gas dan Produksi Es","Energi",10602267.8980099
"82",2016,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1235594.02615388
"83",2016,"Konstruksi","Jasa",143569799.488125
"84",2016,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",34273017.2681011
"85",2016,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",208197695.624267
"86",2016,"Angkutan Rel","Transportasi",1033416.27958432
"87",2016,"Angkutan Darat","Transportasi",76793180.4728061
"88",2016,"Angkutan Laut","Transportasi",223444.255928215
"89",2016,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1315.61942083981
"90",2016,"Angkutan Udara","Transportasi",8939900.28111948
"91",2016,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3412906.06885717
"92",2016,"Penyediaan Akomodasi","Jasa",6642339.97549936
"93",2016,"Penyediaan Makan Minum","Jasa",33605676.0502268
"94",2016,"Informasi dan Komunikasi","Jasa",41939659.6491051
"95",2016,"Jasa Perantara Keuangan","Jasa",31829984.8142023
"96",2016,"Asuransi dan Dana Pensiun","Jasa",3357733.11817225
"97",2016,"Jasa Keuangan Lainnya","Jasa",4992582.65294135
"98",2016,"Jasa Penunjang Keuangan","Jasa",552527.1525922
"99",2016,"Real Estate","Jasa",14970232.1122186
"100",2016,"Jasa Perusahaan","Jasa",6623821.41595804
"101",2016,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",38373785.1108639
"102",2016,"Jasa Pendidikan","Jasa",40473702.9611998
"103",2016,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",11098213.7037324
"104",2016,"Jasa lainnya","Jasa",28792552.6619497
"105",2016,"Lainnya","Lainnya",16511.8564955529
"106",2017,"Tanaman Pangan","Lahan",69134922.7471914
"107",2017,"Tanaman Hortikultura","Lahan",26478201.4852201
"108",2017,"Perkebunan","Lahan",11267839.3308737
"109",2017,"Peternakan","Lahan",18685990.9995403
"110",2017,"Jasa Pertanian dan Perburuan ","Jasa",2217844.33649698
"111",2017,"Kehutanan dan Penebangan Kayu","Lahan",1376189.22358105
"112",2017,"Perikanan","Lahan",16025466.4352239
"113",2017,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",19192957.4216126
"114",2017,"Pertambangan Bijih Logam","Lahan",989745.217418514
"115",2017,"Pertambangan dan Penggalian Lainnya","Lahan",8588646.01757256
"116",2017,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",27522332.9507754
"117",2017,"Industri Makanan dan Minuman","Indirect Land-based",73021901.3522623
"118",2017,"Pengolahan Tembakau","Indirect Land-based",3324618.9750175
"119",2017,"Industri Tekstil dan Pakaian Jadi","Industri",100313546.128529
"120",2017,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",9656396.51837874
"121",2017,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",6978522.98813431
"122",2017,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",17490775.718849
"123",2017,"Industri Kimia Farmasi dan Obat Tradisional","Industri",40690848.3458921
"124",2017,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",21400981.2161394
"125",2017,"Industri Barang Galian bukan Logam","Indirect Land-based",12765793.5874729
"126",2017,"Industri Logam Dasar","Industri",19774222.9852077
"127",2017,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",161831504.808108
"128",2017,"Industri Mesin dan Perlengkapan YTDL","Industri",66984174.3008915
"129",2017,"Industri Alat Angkutan","Industri",142215020.952916
"130",2017,"Industri Furnitur","Indirect Land-based",3863192.34217412
"131",2017,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",7941448.69664697
"132",2017,"Ketenagalistrikan","Energi",2478324.46068466
"133",2017,"Pengadaan Gas dan Produksi Es","Energi",11132381.0853062
"134",2017,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1297373.59717075
"135",2017,"Konstruksi","Jasa",150748287.87189
"136",2017,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",35986597.4387778
"137",2017,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",218607554.048503
"138",2017,"Angkutan Rel","Transportasi",1085087.02109374
"139",2017,"Angkutan Darat","Transportasi",80632834.7798083
"140",2017,"Angkutan Laut","Transportasi",234616.429979382
"141",2017,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1381.38497923049
"142",2017,"Angkutan Udara","Transportasi",9386894.80597216
"143",2017,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3583549.38960226
"144",2017,"Penyediaan Akomodasi","Jasa",6974456.60412652
"145",2017,"Penyediaan Makan Minum","Jasa",35285959.2798654
"146",2017,"Informasi dan Komunikasi","Jasa",44036641.863356
"147",2017,"Jasa Perantara Keuangan","Jasa",33421450.6258967
"148",2017,"Asuransi dan Dana Pensiun","Jasa",3525618.50946457
"149",2017,"Jasa Keuangan Lainnya","Jasa",5242206.3467021
"150",2017,"Jasa Penunjang Keuangan","Jasa",580152.511198012
"151",2017,"Real Estate","Jasa",15718743.0512281
"152",2017,"Jasa Perusahaan","Jasa",6955009.47600071
"153",2017,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",40292471.3008909
"154",2017,"Jasa Pendidikan","Jasa",42497388.0487627
"155",2017,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",11653124.3594759
"156",2017,"Jasa lainnya","Jasa",30232179.5898345
"157",2017,"Lainnya","Lainnya",17337.4493203305
"158",2018,"Tanaman Pangan","Lahan",72591688.3299125
"159",2018,"Tanaman Hortikultura","Lahan",27802111.6793504
"160",2018,"Perkebunan","Lahan",11833528.819564
"161",2018,"Peternakan","Lahan",19620292.477029
"162",2018,"Jasa Pertanian dan Perburuan ","Jasa",2328799.42610921
"163",2018,"Kehutanan dan Penebangan Kayu","Lahan",1445194.47900961
"164",2018,"Perikanan","Lahan",16826741.3335634
"165",2018,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",20152606.2047158
"166",2018,"Pertambangan Bijih Logam","Lahan",1039232.57588616
"167",2018,"Pertambangan dan Penggalian Lainnya","Lahan",9018078.58825594
"168",2018,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",28898459.6257541
"169",2018,"Industri Makanan dan Minuman","Indirect Land-based",76673007.4300567
"170",2018,"Pengolahan Tembakau","Indirect Land-based",3490850.00568727
"171",2018,"Industri Tekstil dan Pakaian Jadi","Industri",105329225.656796
"172",2018,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",10139216.5024115
"173",2018,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",7327449.40060969
"174",2018,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",18365315.8199354
"175",2018,"Industri Kimia Farmasi dan Obat Tradisional","Industri",42725400.3541216
"176",2018,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",22471034.4184212
"177",2018,"Industri Barang Galian bukan Logam","Indirect Land-based",13404083.7798412
"178",2018,"Industri Logam Dasar","Industri",20762934.3578795
"179",2018,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",169923083.125433
"180",2018,"Industri Mesin dan Perlengkapan YTDL","Industri",70333387.2251174
"181",2018,"Industri Alat Angkutan","Industri",149325783.646446
"182",2018,"Industri Furnitur","Indirect Land-based",4056352.03915955
"183",2018,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",8338523.2784827
"184",2018,"Ketenagalistrikan","Energi",2602240.69688063
"185",2018,"Pengadaan Gas dan Produksi Es","Energi",11689000.3471761
"186",2018,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1362242.40732032
"187",2018,"Konstruksi","Jasa",158285703.856127
"188",2018,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",37785998.0035755
"189",2018,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",229537958.107954
"190",2018,"Angkutan Rel","Transportasi",1139341.44461835
"191",2018,"Angkutan Darat","Transportasi",84664481.2354437
"192",2018,"Angkutan Laut","Transportasi",246347.290223647
"193",2018,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1450.46964085409
"194",2018,"Angkutan Udara","Transportasi",9856240.03547472
"195",2018,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3762728.84178063
"196",2018,"Penyediaan Akomodasi","Jasa",7323179.8044813
"197",2018,"Penyediaan Makan Minum","Jasa",37050257.8167324
"198",2018,"Informasi dan Komunikasi","Jasa",46238474.724729
"199",2018,"Jasa Perantara Keuangan","Jasa",35092556.5862704
"200",2018,"Asuransi dan Dana Pensiun","Jasa",3701900.69955607
"201",2018,"Jasa Keuangan Lainnya","Jasa",5504322.10293412
"202",2018,"Jasa Penunjang Keuangan","Jasa",609161.135783639
"203",2018,"Real Estate","Jasa",16504680.8703922
"204",2018,"Jasa Perusahaan","Jasa",7302762.96056219
"205",2018,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",42307097.9314582
"206",2018,"Jasa Pendidikan","Jasa",44622257.5116981
"207",2018,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",12235780.6068929
"208",2018,"Jasa lainnya","Jasa",31743789.2745403
"209",2018,"Lainnya","Lainnya",18204.321786347
"210",2019,"Tanaman Pangan","Lahan",76221294.1363926
"211",2019,"Tanaman Hortikultura","Lahan",29192217.3951738
"212",2019,"Perkebunan","Lahan",12427732.5271886
"213",2019,"Peternakan","Lahan",20601309.221137
"214",2019,"Jasa Pertanian dan Perburuan ","Jasa",2445308.55729194
"215",2019,"Kehutanan dan Penebangan Kayu","Lahan",1517669.5783133
"216",2019,"Perikanan","Lahan",17668080.134473
"217",2019,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",21160237.5181741
"218",2019,"Pertambangan Bijih Logam","Lahan",1091194.31203661
"219",2019,"Pertambangan dan Penggalian Lainnya","Lahan",9468982.81445328
"220",2019,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",30343393.6371977
"221",2019,"Industri Makanan dan Minuman","Indirect Land-based",80506669.9127246
"222",2019,"Pengolahan Tembakau","Indirect Land-based",3665392.59608218
"223",2019,"Industri Tekstil dan Pakaian Jadi","Industri",110595689.383655
"224",2019,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",10646177.5014568
"225",2019,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",7693822.16001492
"226",2019,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",19283583.0575869
"227",2019,"Industri Kimia Farmasi dan Obat Tradisional","Industri",44861680.9218322
"228",2019,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",23594590.6949519
"229",2019,"Industri Barang Galian bukan Logam","Indirect Land-based",14074288.5331261
"230",2019,"Industri Logam Dasar","Industri",21801081.3215255
"231",2019,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",178419240.666307
"232",2019,"Industri Mesin dan Perlengkapan YTDL","Industri",73850061.2164632
"233",2019,"Industri Alat Angkutan","Industri",156792085.639213
"234",2019,"Industri Furnitur","Indirect Land-based",4259169.72898171
"235",2019,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",8755451.80410409
"236",2019,"Ketenagalistrikan","Energi",2732352.7462026
"237",2019,"Pengadaan Gas dan Produksi Es","Energi",12273450.5928993
"238",2019,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1430354.67100618
"239",2019,"Konstruksi","Jasa",166199990.798638
"240",2019,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",39675375.6657057
"241",2019,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",241014885.006009
"242",2019,"Angkutan Rel","Transportasi",1196308.59656601
"243",2019,"Angkutan Darat","Transportasi",88897710.4855159
"244",2019,"Angkutan Laut","Transportasi",258664.697354586
"245",2019,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1523.01007681732
"246",2019,"Angkutan Udara","Transportasi",10349052.5753719
"247",2019,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3950867.4648385
"248",2019,"Penyediaan Akomodasi","Jasa",7689339.20186773
"249",2019,"Penyediaan Makan Minum","Jasa",38902771.3377286
"250",2019,"Informasi dan Komunikasi","Jasa",48550399.3059902
"251",2019,"Jasa Perantara Keuangan","Jasa",36847221.1874764
"252",2019,"Asuransi dan Dana Pensiun","Jasa",3886997.1256112
"253",2019,"Jasa Keuangan Lainnya","Jasa",5779544.19085148
"254",2019,"Jasa Penunjang Keuangan","Jasa",639620.291498224
"255",2019,"Real Estate","Jasa",17329915.6471729
"256",2019,"Jasa Perusahaan","Jasa",7667904.42041839
"257",2019,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",44422456.200096
"258",2019,"Jasa Pendidikan","Jasa",46853370.4538298
"259",2019,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",12847569.669625
"260",2019,"Jasa lainnya","Jasa",33330979.5140007
"261",2019,"Lainnya","Lainnya",19114.5378756644
"262",2020,"Tanaman Pangan","Lahan",80032382.3721165
"263",2020,"Tanaman Hortikultura","Lahan",30651828.409974
"264",2020,"Perkebunan","Lahan",13051899.147813
"265",2020,"Peternakan","Lahan",21631377.0144768
"266",2020,"Jasa Pertanian dan Perburuan ","Jasa",2567650.06103493
"267",2020,"Kehutanan dan Penebangan Kayu","Lahan",1593789.96886567
"268",2020,"Perikanan","Lahan",18551486.0488515
"269",2020,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",22218250.4976275
"270",2020,"Pertambangan Bijih Logam","Lahan",1145754.1457302
"271",2020,"Pertambangan dan Penggalian Lainnya","Lahan",9942432.28163892
"272",2020,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",31860575.4522301
"273",2020,"Industri Makanan dan Minuman","Indirect Land-based",84532016.7306454
"274",2020,"Pengolahan Tembakau","Indirect Land-based",3848662.32500791
"275",2020,"Industri Tekstil dan Pakaian Jadi","Industri",116125476.541259
"276",2020,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",11178486.5678469
"277",2020,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",8078513.58632793
"278",2020,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",20247763.8017866
"279",2020,"Industri Kimia Farmasi dan Obat Tradisional","Industri",47104776.572928
"280",2020,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",24774325.2408711
